,left,top
190,263579,5032869
191,263579,5032369
192,263579,5031869
193,263579,5031369
194,263579,5030869
195,263579,5030369
196,263579,5029869
197,263579,5029369
198,263579,5028869
199,263579,5028369
200,263579,5027869
201,263579,5027369
202,263579,5026869
203,263579,5026369
204,263579,5025869
205,263579,5025369
206,263579,5024869
207,263579,5024369
208,263579,5023869
209,263579,5023369
210,263579,5022869
211,264079,5040369
212,264079,5039869
213,264079,5039369
214,264079,5038869
215,264079,5038369
216,264079,5037869
217,264079,5037369
218,264079,5036869
219,264079,5036369
220,264079,5035869
221,264079,5035369
222,264079,5034869
223,264079,5034369
224,264079,5033869
225,264079,5033369
226,264079,5032869
227,264079,5032369
228,264079,5031869
229,264079,5031369
230,264079,5030869
231,264079,5030369
232,264079,5029869
233,264079,5029369
234,264079,5028869
235,264079,5028369
236,264079,5027869
237,264079,5027369
238,264079,5026869
239,264079,5026369
240,264079,5025869
241,264079,5025369
242,264079,5024869
243,264079,5024369
244,264079,5023869
245,264079,5023369
246,264079,5022869
247,264079,5022369
248,264579,5040869
249,264579,5040369
250,264579,5039869
251,264579,5039369
252,264579,5038869
253,264579,5038369
254,264579,5037869
255,264579,5037369
256,264579,5036869
257,264579,5036369
258,264579,5035869
259,264579,5035369
260,264579,5034869
261,264579,5034369
262,264579,5033869
263,264579,5033369
264,264579,5032869
265,264579,5032369
266,264579,5031869
267,264579,5031369
268,264579,5030869
269,264579,5030369
270,264579,5029869
271,264579,5029369
272,264579,5028869
273,264579,5028369
274,264579,5027869
275,264579,5027369
276,264579,5026869
277,264579,5026369
278,264579,5025869
279,264579,5025369
280,264579,5024869
281,264579,5024369
282,264579,5023869
283,264579,5023369
284,264579,5022869
285,264579,5022369
286,264579,5021869
287,265079,5041369
288,265079,5040869
289,265079,5040369
290,265079,5039869
291,265079,5039369
292,265079,5038869
293,265079,5038369
294,265079,5037869
295,265079,5037369
296,265079,5036869
297,265079,5036369
298,265079,5035869
299,265079,5035369
300,265079,5034869
301,265079,5034369
302,265079,5033869
303,265079,5033369
304,265079,5032869
305,265079,5032369
306,265079,5031869
307,265079,5031369
308,265079,5030869
309,265079,5030369
310,265079,5029869
311,265079,5029369
312,265079,5028869
313,265079,5028369
314,265079,5027869
315,265079,5027369
316,265079,5026869
317,265079,5026369
318,265079,5025869
319,265079,5025369
320,265079,5024869
321,265079,5024369
322,265079,5023869
323,265079,5023369
324,265079,5022869
325,265079,5022369
326,265079,5021869
327,265079,5021369
328,265579,5041369
329,265579,5040869
330,265579,5040369
331,265579,5039869
332,265579,5039369
333,265579,5038869
334,265579,5038369
335,265579,5037869
336,265579,5037369
337,265579,5036869
338,265579,5036369
339,265579,5035869
340,265579,5035369
341,265579,5034869
342,265579,5034369
343,265579,5033869
344,265579,5033369
345,265579,5032869
346,265579,5032369
347,265579,5031869
348,265579,5031369
349,265579,5030869
350,265579,5030369
351,265579,5029869
352,265579,5029369
353,265579,5028869
354,265579,5028369
355,265579,5027869
356,265579,5027369
357,265579,5026869
358,265579,5026369
359,265579,5025869
360,265579,5025369
361,265579,5024869
362,265579,5024369
363,265579,5023869
364,265579,5023369
365,265579,5022869
366,265579,5022369
367,265579,5021869
368,265579,5021369
369,266079,5041869
370,266079,5041369
371,266079,5040869
372,266079,5040369
373,266079,5039869
